index,SEACell
cell_106997,SEACell-48
cell_113929,SEACell-1
cell_17885,SEACell-3
cell_58734,SEACell-61
cell_57629,SEACell-30
cell_96769,SEACell-36
cell_7807,SEACell-24
cell_73491,SEACell-49
cell_115275,SEACell-16
cell_73324,SEACell-49
cell_111641,SEACell-32
cell_101440,SEACell-56
cell_79177,SEACell-0
cell_42486,SEACell-60
cell_3243,SEACell-13
cell_14871,SEACell-27
cell_101692,SEACell-36
cell_27027,SEACell-31
cell_107513,SEACell-37
cell_128174,SEACell-10
cell_24262,SEACell-28
cell_95263,SEACell-28
cell_100208,SEACell-52
cell_81691,SEACell-13
cell_35147,SEACell-9
cell_106592,SEACell-29
cell_1745,SEACell-2
cell_105674,SEACell-48
cell_41476,SEACell-14
cell_120084,SEACell-19
cell_52485,SEACell-29
cell_89310,SEACell-23
cell_126545,SEACell-9
cell_98200,SEACell-12
cell_43045,SEACell-60
cell_44754,SEACell-18
cell_53311,SEACell-30
cell_98993,SEACell-12
cell_57867,SEACell-18
cell_112810,SEACell-48
cell_138687,SEACell-56
cell_23047,SEACell-61
cell_5295,SEACell-60
cell_114786,SEACell-53
cell_90383,SEACell-0
cell_95619,SEACell-63
cell_4710,SEACell-65
cell_41646,SEACell-14
cell_43808,SEACell-65
cell_119774,SEACell-39
cell_24568,SEACell-38
cell_92859,SEACell-28
cell_104175,SEACell-57
cell_109487,SEACell-48
cell_40535,SEACell-7
cell_130852,SEACell-55
cell_83402,SEACell-58
cell_115828,SEACell-9
cell_126120,SEACell-3
cell_118756,SEACell-40
cell_31698,SEACell-16
cell_120228,SEACell-9
cell_36714,SEACell-62
cell_29361,SEACell-48
cell_7912,SEACell-30
cell_125598,SEACell-28
cell_137378,SEACell-59
cell_52166,SEACell-45
cell_40600,SEACell-26
cell_81469,SEACell-32
cell_74788,SEACell-28
cell_70235,SEACell-20
cell_6726,SEACell-60
cell_40894,SEACell-15
cell_17208,SEACell-47
cell_115568,SEACell-9
cell_137203,SEACell-55
cell_64933,SEACell-41
cell_92592,SEACell-16
cell_15208,SEACell-48
cell_130513,SEACell-52
cell_65828,SEACell-43
cell_15383,SEACell-13
cell_28550,SEACell-37
cell_65693,SEACell-46
cell_55336,SEACell-25
cell_57374,SEACell-44
cell_51314,SEACell-30
cell_104545,SEACell-48
cell_72126,SEACell-56
cell_47791,SEACell-54
cell_66001,SEACell-6
cell_1668,SEACell-37
cell_127113,SEACell-28
cell_34296,SEACell-43
cell_42970,SEACell-14
cell_632,SEACell-25
cell_99678,SEACell-40
cell_68064,SEACell-40
cell_122552,SEACell-19
cell_82783,SEACell-0
cell_27318,SEACell-53
cell_6987,SEACell-14
cell_123757,SEACell-53
cell_15915,SEACell-1
cell_104209,SEACell-48
cell_5483,SEACell-58
cell_10699,SEACell-10
cell_116749,SEACell-24
cell_48481,SEACell-9
cell_89879,SEACell-60
cell_50653,SEACell-0
cell_117669,SEACell-28
cell_126137,SEACell-60
